id_episode;path
1;19981207_0700_0800_inter_fm_dga
2;19981207_0800_0900_inter_fm_dga
3;19981208_0700_0800_inter_fm_dga
4;19981208_0800_0900_inter_fm_dga
5;19981209_0700_0800_inter_fm_dga
6;19981209_0800_0900_inter_fm_dga
7;19981210_0700_0800_inter_fm_dga
8;19981210_0800_0900_inter_fm_dga
9;19981211_0700_0800_inter_fm_dga
10;19981211_0800_0900_inter_fm_dga
11;19981214_0700_0800_inter_fm_dga
12;19981214_0800_0900_inter_fm_dga
13;19981215_0700_0800_inter_fm_dga
14;19981215_0800_0900_inter_fm_dga
15;19981216_0700_0800_inter_fm_dga
16;19981216_0800_0900_inter_fm_dga
17;19981217_0700_0800_inter_fm_dga
18;19981217_0800_0900_inter_fm_dga
19;19981218_0700_0800_inter_fm_dga
20;19981218_0800_0900_inter_fm_dga
21;19990527_1900_1920_inter_fm_dga
22;19990607_1900_1920_inter_fm_dga
23;19990608_1900_1920_inter_fm_dga
24;19990609_1900_1920_inter_fm_dga
25;19990610_1900_1920_inter_fm_dga
26;19990611_1900_1920_inter_fm_dga
27;19990614_1900_1920_inter_fm_dga
28;19990616_1900_1920_inter_fm_dga
29;19990617_1900_1920_inter_fm_dga
30;19990618_1900_1920_inter_fm_dga
31;19990621_1900_1920_inter_fm_dga
32;19990622_1900_1920_inter_fm_dga
33;19990623_1900_1920_inter_fm_dga
34;19990624_1900_1920_inter_fm_dga
35;19990625_1900_1920_inter_fm_dga
36;20000410_0930_1030_rfi_fm_dga
37;20000410_1130_1230_rfi_fm_dga
38;20000414_0930_1030_rfi_fm_dga
39;20000522_0930_1030_rfi_fm_dga
40;20000522_1130_1230_rfi_fm_dga
41;20000523_0930_1030_rfi_fm_dga
42;20000523_1130_1230_rfi_fm_dga
43;20000524_0930_1030_rfi_fm_dga
44;20000524_1130_1230_rfi_fm_dga
45;20000525_0930_1030_rfi_fm_dga
46;20000525_1130_1230_rfi_fm_dga
47;20000907_0930_1030_rfi_fm_dga
48;20000907_1130_1230_rfi_fm_dga
49;20000908_0930_1030_rfi_fm_dga
50;20000908_1130_1230_rfi_fm_dga
51;20030414_0700_0800_FRANCEINTER_DGA
52;20030414_0800_0900_FRANCEINTER_DGA
53;20030414_1200_1300_FRANCEINFO_DGA
54;20030414_1700_1800_FRANCEINFO_DGA
55;20030415_0700_0800_FRANCEINTER_DGA
56;20030415_0800_0900_FRANCEINTER_DGA
57;20030415_1200_1300_FRANCEINFO_DGA
58;20030415_1700_1800_FRANCEINFO_DGA
59;20030416_0700_0800_FRANCEINTER_DGA
60;20030416_0800_0900_FRANCEINTER_DGA
61;20030416_1200_1300_FRANCEINFO_DGA
62;20030416_1700_1800_FRANCEINFO_DGA
63;20030417_0700_0800_FRANCEINTER_DGA
64;20030417_0800_0900_FRANCEINTER_DGA
65;20030417_1200_1300_FRANCEINFO_DGA
66;20030417_1700_1800_FRANCEINFO_DGA
67;20030418_0700_0800_FRANCEINTER_DGA
68;20030418_0800_0900_FRANCEINTER_DGA
69;20030418_1200_1300_FRANCEINFO_DGA
70;20030418_1700_1800_FRANCEINFO_DGA
71;20030428_1400_1500_RFI_ELDA
72;20030429_1400_1500_RFI_ELDA
73;20030430_1400_1500_RFI_ELDA
74;20030501_1400_1500_RFI_ELDA
