id_show	episode	speaker	gender	spk_class	wc	mistakes	WER
23	20071219_2135_2150_tvme	unk_443	homme	4	1296	214	0.17
23	20071219_2135_2150_tvme	Zakia_BALOUCAS	femme	4	233	46	0.2
23	20071219_2135_2150_tvme	unk_144	femme	1	67	33	0.49
23	20071219_2135_2150_tvme	Rachida_KADI	femme	3	118	19	0.16
23	20071219_2135_2150_tvme	Nesrin_EL-HAMDAOUI	homme	1	51	32	0.63
23	20071219_2135_2150_tvme	unk_327	femme	1	22	9	0.41
23	20071219_2135_2150_tvme	unk_356	homme	1	61	27	0.44
23	20071219_2135_2150_tvme	unk_370	homme	1	12	0	0.0
23	20071219_2135_2150_tvme	unk_378	femme	1	27	10	0.37
23	20071219_2135_2150_tvme	unk_387	homme	1	38	9	0.24
23	20071219_2135_2150_tvme	unk_391	homme	1	28	0	0.0
23	20071219_2135_2150_tvme	unk_203	homme	1	36	9	0.25
23	20071219_2135_2150_tvme	Dominique_ORLANDO	homme	4	116	27	0.23
23	20071219_2135_2150_tvme	unk_335	homme	1	32	24	0.75
23	20071219_2135_2150_tvme	Haj_YOUNES	homme	2	62	9	0.15
23	20071221_2135_2150_tvme	unk_443	homme	4	1203	217	0.18
23	20071221_2135_2150_tvme	Mohammed_DITCH	homme	4	558	171	0.31
23	20071221_2135_2150_tvme	Driss_EL-YAZAMI	homme	1	78	34	0.44
23	20071221_2135_2150_tvme	Imane_ABLOU	femme	4	286	28	0.1
23	20071221_2135_2150_tvme	Zina_AITLAMIN_NESRIN_EL-HAMDAOUI	femme	4	179	48	0.27
23	20071221_2135_2150_tvme	Moustapha_EL-ASFAR	homme	1	46	26	0.57
23	20071221_2135_2150_tvme	unk_344	femme	1	31	9	0.29
23	20071221_2135_2150_tvme	unk_845	homme	4	59	18	0.31
23	20071221_2135_2150_tvme	Dominique_ORLANDO	homme	4	157	6	0.04
23	20071221_2135_2150_tvme	unk_937	femme	1	31	17	0.55
23	20071221_2135_2150_tvme	Hasna_BOUFKIRI	femme	4	155	26	0.17
23	20071221_2135_2150_tvme	unk_113	homme	4	112	31	0.28
1	20080206_1200_1210_africa1	Francois_Duc_MOUCKWANGUY	homme	4	587	137	0.23
1	20080206_1200_1210_africa1	Elisabeth_BYRS	femme	4	157	24	0.15
1	20080206_1200_1210_africa1	Christiane_BERTHIAUME	femme	2	158	33	0.21
1	20080206_1200_1210_africa1	Ben-Daouda_SYLLA	homme	4	250	78	0.31
1	20080206_1200_1210_africa1	Ibn_CHAMBAS	homme	1	41	41	1.0
1	20080206_1200_1210_africa1	Albert_EDOU-NKOULOU	homme	4	186	42	0.23
1	20080206_1200_1210_africa1	Jeanne_PEUHMON	femme	4	183	89	0.49
1	20080206_1200_1210_africa1	Maurice_BOUYANBA	homme	4	224	17	0.08
23	20080107_2135_2150_tvme	unk_315	femme	4	906	143	0.16
23	20080107_2135_2150_tvme	Souad_EL-ACHHAD	femme	4	340	27	0.08
23	20080107_2135_2150_tvme	unk_663	homme	1	64	16	0.25
23	20080107_2135_2150_tvme	unk_776	femme	1	34	12	0.35
23	20080107_2135_2150_tvme	unk_845	homme	4	37	13	0.35
23	20080107_2135_2150_tvme	unk_890	homme	4	117	26	0.22
23	20080107_2135_2150_tvme	unk_307	femme	4	155	4	0.03
23	20080107_2135_2150_tvme	unk_937	homme	4	110	32	0.29
23	20080107_2135_2150_tvme	unk_983	homme	2	54	11	0.2
23	20080107_2135_2150_tvme	unk_1022	homme	4	124	53	0.43
23	20080107_2135_2150_tvme	Lahcen_EL-MEHRAOUI	homme	4	283	88	0.31
23	20080107_2135_2150_tvme	Imane_ABLOU	femme	4	255	33	0.13
23	20080107_2135_2150_tvme	Pascal_COUCHEPIN	homme	4	133	35	0.26
23	20080107_2135_2150_tvme	Dominique_ORLANDO	homme	4	396	54	0.14
23	20080107_2135_2150_tvme	unk_1058	homme	4	146	21	0.14
23	20080108_2135_2150_tvme	unk_443	femme	4	1013	152	0.15
23	20080108_2135_2150_tvme	Souhade_AD-DANNACHET	femme	4	276	21	0.08
23	20080108_2135_2150_tvme	unk_663	femme	4	151	12	0.08
23	20080108_2135_2150_tvme	unk_776	homme	1	63	15	0.24
23	20080108_2135_2150_tvme	Yasmine_KHAYAT	femme	1	79	11	0.14
23	20080108_2135_2150_tvme	Nicolas_SARKOZY	homme	4	209	26	0.12
23	20080108_2135_2150_tvme	Imane_ABLOU	femme	4	162	11	0.07
23	20080108_2135_2150_tvme	unk_475	homme	1	8	8	1.0
23	20080108_2135_2150_tvme	unk_890	femme	1	64	9	0.14
23	20080108_2135_2150_tvme	unk_937	homme	4	64	7	0.11
