id;lang;dial;#spk;#spk_m;#spk_f;#utt;#utt_m;#utt_f;dur;dur_m;dur_f;sizeGB;size;sampling;task;elicited;provided;found_in;lang_status;year;producer
SLR1  ;hebrew;;1;1;0;60;60;0;;;;0,006;small;8000;ASR;yes;yes;metadata;Low-resource;NA;Anonymous
SLR12  ;english;;2484;1283;1201;;;;;506,4;475,9;63,9;large;16000;ASR;no;yes;metadata;High-resource;2015;Center for Language and Speech Processing & Human Language Technology Center of Excellence
SLR16  ;english;;189;123;66;;;;;;;91,6;large;16000;ASR;yes;yes;metadata;High-resource;2007;AMI Project
SLR18  ;chinese;;50;9;31;11142;;;35;;;10,2;medium;16000;ASR;yes;yes;paper;High-resource;2015;Center for Speech and Language Technology (CSLT) at Tsinghua University
SLR22  ;uyghur;;595;289;315;9468;;;23,6;;;3;small;16000;ASR;yes;yes;metadata;Low-resource;2015;Center for Speech and Language Technology (CSLT) 
SLR24  ;iban;;23;9;14;3132;1750;1382;8;4,3;3,7;0,996;small;16000;ASR;no;yes;paper;Low-resource;NA;LIG
SLR25  ;wolof;;18;10;8;17998;;;2,4;;;1,5;small;16000;ASR;yes;yes;paper;Low-resource;2016;ALFFA Project
SLR25  ;swahili;;;;;12169;;;;;;2,6;small;16000;ASR;no;no;NA;Low-resource;2012;ALFFA Project
SLR25  ;ahmaric;;;;;;;;;;;2,5;small;16000;ASR;yes;no;NA;Low-resource;2005;ALFFA Project
SLR30  ;sinhala;;12;0;12;1251;0;1251;;;;1,2;small;48000;TTS;yes;no;manually;Low-resource;2016;Google
SLR32  ;Afrikaans;;9;0;9;2927;0;2927;;;;1,1;small;48000;TTS;yes;no;manually;Low-resource;2017;Google
SLR32  ;sesotho;;19;0;19;2096;0;2096;;;;1,1;small;44100;TTS;yes;no;manually;Low-resource;2017;Google
SLR32  ;setswana;;26;0;26;2378;0;2378;;;;1,2;small;48000;TTS;yes;no;manually;Low-resource;2017;Google
SLR32  ;isiXhosa;;;;;;;;;;;1,1;small;48000;TTS;yes;no;NA;Low-resource;2017;Google
SLR33  ;chinese;mandarin;400;186;214;;;;;;;15,6;medium;16000;ASR;yes;yes;metadata;High-resource;2017;Beijing Shell Shell Technology Co.,Ltd.
SLR35  ;javanese;;;;;;;;;;;18,9;medium;16000;ASR;yes;no;NA;Low-resource;2017;Google
SLR36  ;sundanese;;;;;;;;;;;23;medium;16000;ASR;yes;no;NA;Low-resource;2017;Google
SLR37  ;bengali;bengladesh;5;5;0;1890;1890;0;;;;1;small;48000;TTS;yes;no;manually;Low-resource;NA;Google
SLR37  ;bengali;indian;9;8;1;1365;1272;93;;;;0,7;small;48000;TTS;yes;no;manually;Low-resource;NA;Google
SLR38  ;chinese;mandarin;855;;;102600;;;;;;12,7;medium;16000;NA;yes;yes;metadata;High-resource;NA;Surfingtech
SLR39  ;spanish;;114;;;;;;;;;2,6;small;22050;ASR;yes;no;NA;High-resource;NA;DFL & CTELL
SLR40  ;korean;;115;45;70;22720;;;52,8;;;2,9;small;16000;ASR;yes;yes;metadata;High-resource;NA;Lucas Jo(@Atlas Guide Inc.) and Wonkyum Lee(@Gridspace Inc.). 
SLR41  ;javanese;;39;20;19;5820;2957;2863;;;;2,4;small;48000;TTS;yes;yes;indexed;Low-resource;2018;Google
