book;spk;gender;errors;words;WER;m_seed;d_seed;model
102255;7729;M;125;1151;10,860122;1;67;m1
1180;1284;F; 67; 744; 9,005376;1;67;m1
1181;1284;F; 29; 453; 6,401766;1;67;m1
121726;121;F; 26; 135;19,259259;1;67;m1
122612;1320;M; 26; 375; 6,933333;1;67;m1
122617;1320;M; 60;1108; 5,415162;1;67;m1
122797;672;M; 84;1109; 7,574391;1;67;m1
123286;260;M; 60; 442;13,574661;1;67;m1
123288;260;M; 84; 535;15,700935;1;67;m1
123440;260;M; 20; 301; 6,644518;1;67;m1
123852;121;F; 14; 147; 9,523810;1;67;m1
123859;121;F; 23; 187;12,299465;1;67;m1
126133;237;F; 38; 475; 8,000000;1;67;m1
127105;121;F; 43; 655; 6,564885;1;67;m1
131720;2300;M;107;1222; 8,756137;1;67;m1
133604;1188;M;126;1296; 9,722222;1;67;m1
134493;237;F; 37; 319;11,598746;1;67;m1
134500;237;F; 72; 596;12,080537;1;67;m1
134647;1284;F; 12; 288; 4,166667;1;67;m1
134686;1089;M; 49; 721; 6,796117;1;67;m1
134691;1089;M; 48; 526; 9,125475;1;67;m1
135766;1221;F; 19; 463; 4,103672;1;67;m1
135767;1221;F; 47; 842; 5,581948;1;67;m1
13751;4077;M; 76; 711;10,689170;1;67;m1
13754;4077;M; 60; 585;10,256410;1;67;m1
141083;1580;F; 67; 832; 8,052885;1;67;m1
141084;1580;F; 50; 705; 7,092199;1;67;m1
142345;2094;F;152;1341;11,334825;1;67;m1
157963;908;M; 68; 621;10,950081;1;67;m1
16021;4507;F; 91; 960; 9,479167;1;67;m1
170457;3575;F;118;1396; 8,452722;1;67;m1
1826;1995;F; 53; 411;12,895377;1;67;m1
1836;1995;F; 55; 362;15,193370;1;67;m1
1837;1995;F; 56; 505;11,089109;1;67;m1
210777;8455;M;162;1376;11,773256;1;67;m1
2271;4446;F; 66; 395;16,708861;1;67;m1
2273;4446;F; 48; 559; 8,586762;1;67;m1
2275;4446;F; 58; 576;10,069444;1;67;m1
23283;4992;F; 23; 398; 5,778894;1;67;m1
274381;8224;M; 51; 673; 7,578009;1;67;m1
274384;8224;M; 11; 350; 3,142857;1;67;m1
279154;8230;M; 60;1237; 4,850445;1;67;m1
28233;5105;M; 27; 317; 8,517350;1;67;m1
28240;5105;M; 27; 482; 5,601660;1;67;m1
28241;5105;M; 20; 504; 3,968254;1;67;m1
284447;8555;F;100; 571;17,513135;1;67;m1
284449;8555;F; 71; 489;14,519427;1;67;m1
287645;8463;F; 24; 323; 7,430341;1;67;m1
29093;4970;F; 48; 600; 8,000000;1;67;m1
29095;4970;F; 86; 735;11,700680;1;67;m1
292519;8555;F; 37; 286;12,937063;1;67;m1
294825;8463;F; 65; 321;20,249221;1;67;m1
294828;8463;F; 60; 596;10,067114;1;67;m1
31957;908;M; 46; 472; 9,745763;1;67;m1
32865;5683;F; 22; 272; 8,088235;1;67;m1
32866;5683;F; 43; 505; 8,514851;1;67;m1
32879;5683;F; 32; 465; 6,881720;1;67;m1
33396;5142;F;134; 934;14,346895;1;67;m1
36377;5142;F; 79; 623;12,680578;1;67;m1
36586;5142;F; 11;  49;22,448980;1;67;m1
36600;5142;F;  4;  64; 6,250000;1;67;m1
3979;2830;M; 33; 264;12,500000;1;67;m1
3980;2830;M;137;1122;12,210339;1;67;m1
40744;5639;M;152;1466;10,368349;1;67;m1
41797;4992;F; 87; 473;18,393235;1;67;m1
41806;4992;F; 55; 475;11,578947;1;67;m1
5694;3570;F; 85; 657;12,937595;1;67;m1
5695;3570;F; 57; 459;12,418301;1;67;m1
5696;3570;F; 54; 365;14,794521;1;67;m1
6852;3729;F; 68;1269; 5,358550;1;67;m1
68769;6829;F;107; 773;13,842173;1;67;m1
68771;6829;F; 60; 708; 8,474576;1;67;m1
70968;61;M; 94; 842;11,163895;1;67;m1
70970;61;M; 73; 639;11,424100;1;67;m1
75918;6930;M; 46; 479; 9,603340;1;67;m1
75946;7127;M; 42; 604; 6,953642;1;67;m1
75947;7127;M; 54; 661; 8,169440;1;67;m1
76324;6930;M; 64; 436;14,678899;1;67;m1
79730;7021;M; 15; 281; 5,338078;1;67;m1
79740;7021;M; 31; 315; 9,841270;1;67;m1
79759;7021;M;  8; 122; 6,557377;1;67;m1
81414;6930;M; 29; 377; 7,692308;1;67;m1
85628;7021;M; 19; 477; 3,983229;1;67;m1
88083;7176;M; 49; 610; 8,032787;1;67;m1
92135;7176;M;149; 855;17,426901;1;67;m1
960;2961;F; 78; 640;12,187500;1;67;m1
961;2961;F; 81; 516;15,697674;1;67;m1
102255;7729;M;119;1151;10,338836;1;26;d2
1180;1284;F; 59; 744; 7,930108;1;26;d2
1181;1284;F; 20; 453; 4,415011;1;26;d2
121726;121;F; 24; 135;17,777778;1;26;d2
122612;1320;M; 15; 375; 4,000000;1;26;d2
122617;1320;M; 40;1108; 3,610108;1;26;d2
122797;672;M; 54;1109; 4,869252;1;26;d2
123286;260;M; 40; 442; 9,049774;1;26;d2
123288;260;M; 61; 535;11,401869;1;26;d2
123440;260;M; 23; 301; 7,641196;1;26;d2
123852;121;F; 19; 147;12,925170;1;26;d2
123859;121;F; 20; 187;10,695187;1;26;d2
126133;237;F; 27; 475; 5,684211;1;26;d2
127105;121;F; 35; 655; 5,343511;1;26;d2
131720;2300;M;103;1222; 8,428805;1;26;d2
133604;1188;M;125;1296; 9,645062;1;26;d2
134493;237;F; 41; 319;12,852665;1;26;d2
