book;spk;gender;errors;words;WER;sys_monogender
102255;7729;M;157;1151;13,640313;F
1180;1284;F; 73; 744; 9,811828;F
1181;1284;F; 44; 453; 9,713024;F
121726;121;F; 25; 135;18,518519;F
122612;1320;M; 40; 375;10,666667;F
122617;1320;M; 79;1108; 7,129964;F
122797;672;M; 97;1109; 8,746619;F
123286;260;M; 80; 442;18,099548;F
123288;260;M; 90; 535;16,822430;F
123440;260;M; 24; 301; 7,973422;F
123852;121;F; 18; 147;12,244898;F
123859;121;F; 23; 187;12,299465;F
126133;237;F; 30; 475; 6,315789;F
127105;121;F; 35; 655; 5,343511;F
131720;2300;M;293;1222;23,977087;F
133604;1188;M;177;1296;13,657407;F
134493;237;F; 35; 319;10,971787;F
134500;237;F; 68; 596;11,409396;F
134647;1284;F; 17; 288; 5,902778;F
134686;1089;M; 46; 721; 6,380028;F
134691;1089;M; 62; 526;11,787072;F
135766;1221;F; 23; 463; 4,967603;F
135767;1221;F; 51; 842; 6,057007;F
13751;4077;M; 98; 711;13,783404;F
13754;4077;M;101; 585;17,264957;F
141083;1580;F; 44; 832; 5,288462;F
141084;1580;F; 40; 705; 5,673759;F
142345;2094;F;139;1341;10,365399;F
157963;908;M; 84; 621;13,526570;F
16021;4507;F; 90; 960; 9,375000;F
170457;3575;F;105;1396; 7,521490;F
1826;1995;F; 54; 411;13,138686;F
1836;1995;F; 66; 362;18,232044;F
1837;1995;F; 55; 505;10,891089;F
210777;8455;M;258;1376;18,750000;F
2271;4446;F; 66; 395;16,708861;F
2273;4446;F; 47; 559; 8,407871;F
2275;4446;F; 54; 576; 9,375000;F
23283;4992;F; 25; 398; 6,281407;F
274381;8224;M; 69; 673;10,252600;F
274384;8224;M; 20; 350; 5,714286;F
279154;8230;M; 88;1237; 7,113985;F
28233;5105;M; 35; 317;11,041009;F
28240;5105;M; 32; 482; 6,639004;F
28241;5105;M; 44; 504; 8,730159;F
284447;8555;F; 94; 571;16,462347;F
284449;8555;F; 52; 489;10,633947;F
287645;8463;F; 21; 323; 6,501548;F
29093;4970;F; 61; 600;10,166667;F
29095;4970;F; 70; 735; 9,523810;F
292519;8555;F; 37; 286;12,937063;F
294825;8463;F; 63; 321;19,626168;F
294828;8463;F; 66; 596;11,073826;F
31957;908;M; 59; 472;12,500000;F
32865;5683;F; 22; 272; 8,088235;F
32866;5683;F; 37; 505; 7,326733;F
32879;5683;F; 26; 465; 5,591398;F
33396;5142;F;135; 934;14,453961;F
36377;5142;F; 74; 623;11,878010;F
36586;5142;F;  9;  49;18,367347;F
36600;5142;F; 10;  64;15,625000;F
3979;2830;M; 37; 264;14,015152;F
3980;2830;M;175;1122;15,597148;F
40744;5639;M;145;1466; 9,890859;F
41797;4992;F; 70; 473;14,799154;F
41806;4992;F; 60; 475;12,631579;F
5694;3570;F; 82; 657;12,480974;F
5695;3570;F; 48; 459;10,457516;F
5696;3570;F; 52; 365;14,246575;F
6852;3729;F; 61;1269; 4,806935;F
68769;6829;F; 95; 773;12,289780;F
68771;6829;F; 62; 708; 8,757062;F
70968;61;M;120; 842;14,251781;F
70970;61;M; 97; 639;15,179969;F
75918;6930;M; 95; 479;19,832985;F
75946;7127;M; 55; 604; 9,105960;F
75947;7127;M; 69; 661;10,438729;F
76324;6930;M;107; 436;24,541284;F
79730;7021;M; 24; 281; 8,540925;F
79740;7021;M; 38; 315;12,063492;F
79759;7021;M;  4; 122; 3,278689;F
81414;6930;M; 69; 377;18,302387;F
85628;7021;M; 48; 477;10,062893;F
88083;7176;M; 71; 610;11,639344;F
92135;7176;M;188; 855;21,988304;F
960;2961;F; 96; 640;15,000000;F
961;2961;F; 74; 516;14,341085;F
