"";"book";"spk";"gender";"errors";"words";"WER";"wper"
"1";"102255";"7729";"M";114;1151;9,90443092962641;"30%"
"2";"1180";"1284";"F";71;744;9,54301075268817;"30%"
"3";"1181";"1284";"F";35;453;7,72626931567329;"30%"
"4";"121726";"121";"F";22;135;16,2962962962963;"30%"
"5";"122612";"1320";"M";29;375;7,73333333333333;"30%"
"6";"122617";"1320";"M";56;1108;5,05415162454874;"30%"
"7";"122797";"672";"M";89;1109;8,02524797114518;"30%"
"8";"123286";"260";"M";53;442;11,9909502262443;"30%"
"9";"123288";"260";"M";64;535;11,9626168224299;"30%"
"10";"123440";"260";"M";18;301;5,98006644518272;"30%"
"11";"123852";"121";"F";16;147;10,8843537414966;"30%"
"12";"123859";"121";"F";25;187;13,3689839572193;"30%"
"13";"126133";"237";"F";38;475;8;"30%"
"14";"127105";"121";"F";36;655;5,49618320610687;"30%"
"15";"131720";"2300";"M";97;1222;7,93780687397709;"30%"
"16";"133604";"1188";"M";119;1296;9,1820987654321;"30%"
"17";"134493";"237";"F";39;319;12,2257053291536;"30%"
"18";"134500";"237";"F";72;596;12,0805369127517;"30%"
"19";"134647";"1284";"F";13;288;4,51388888888889;"30%"
"20";"134686";"1089";"M";31;721;4,2995839112344;"30%"
"21";"134691";"1089";"M";51;526;9,6958174904943;"30%"
"22";"135766";"1221";"F";15;463;3,23974082073434;"30%"
"23";"135767";"1221";"F";41;842;4,86935866983373;"30%"
"24";"13751";"4077";"M";67;711;9,42334739803094;"30%"
"25";"13754";"4077";"M";58;585;9,91452991452991;"30%"
"26";"141083";"1580";"F";68;832;8,17307692307692;"30%"
"27";"141084";"1580";"F";46;705;6,52482269503546;"30%"
"28";"142345";"2094";"F";140;1341;10,4399701715138;"30%"
"29";"157963";"908";"M";72;621;11,5942028985507;"30%"
"30";"16021";"4507";"F";92;960;9,58333333333333;"30%"
"31";"170457";"3575";"F";120;1396;8,59598853868195;"30%"
"32";"1826";"1995";"F";42;411;10,2189781021898;"30%"
"33";"1836";"1995";"F";57;362;15,7458563535912;"30%"
"34";"1837";"1995";"F";46;505;9,10891089108911;"30%"
"35";"210777";"8455";"M";145;1376;10,5377906976744;"30%"
"36";"2271";"4446";"F";63;395;15,9493670886076;"30%"
"37";"2273";"4446";"F";49;559;8,76565295169946;"30%"
"38";"2275";"4446";"F";53;576;9,20138888888889;"30%"
"39";"23283";"4992";"F";27;398;6,78391959798995;"30%"
"40";"274381";"8224";"M";41;673;6,09212481426449;"30%"
"41";"274384";"8224";"M";14;350;4;"30%"
"42";"279154";"8230";"M";61;1237;4,93128536782538;"30%"
"43";"28233";"5105";"M";22;317;6,94006309148265;"30%"
"44";"28240";"5105";"M";21;482;4,35684647302905;"30%"
"45";"28241";"5105";"M";31;504;6,15079365079365;"30%"
"46";"284447";"8555";"F";111;571;19,4395796847636;"30%"
