book;spk;gender;errors;words;WER;sys_monogender
1066;533;F;113; 371;30,458221;F
10919;4350;M;178; 498;35,742972;F
117016;8131;M;161; 793;20,302648;F
117017;8131;M;108; 431;25,058005;F
117029;8131;M; 68; 301;22,591362;F
12259;4198;M;183; 504;36,309524;F
12281;4198;M; 89; 345;25,797101;F
128291;2414;M;187; 304;61,513158;F
128292;2414;M;185; 296;62,500000;F
130732;367;F;198; 762;25,984252;F
131556;533;F;140; 404;34,653465;F
131562;533;F; 98; 313;31,309904;F
131564;533;F;123; 396;31,060606;F
142285;1688;M;183;1472;12,432065;F
142836;3538;F;166; 593;27,993255;F
14317;4294;F; 73; 579;12,607945;F
15444;1998;F;203; 527;38,519924;F
156975;2609;M;463; 703;65,860597;F
157645;2609;M;173; 255;67,843137;F
159411;2414;M;263; 568;46,302817;F
159605;3331;F;213; 998;21,342685;F
159609;3331;F;160; 740;21,621622;F
163389;3005;M;149; 324;45,987654;F
163390;3005;M;174; 430;40,465116;F
163391;3005;M;181; 498;36,345382;F
163399;3005;M;141; 397;35,516373;F
163619;3538;F; 47; 364;12,912088;F
163622;3538;F;110; 435;25,287356;F
163624;3538;F; 99; 569;17,398946;F
164914;2033;M;117; 551;21,234120;F
164915;2033;M;126; 526;23,954373;F
164916;2033;M; 78; 297;26,262626;F
165385;2414;M; 40;  76;52,631579;F
168656;3528;F; 43; 209;20,574163;F
168669;3528;F;283;1465;19,317406;F
168670;3764;F;123; 841;14,625446;F
168671;3764;F;156; 748;20,855615;F
169640;2609;M;306; 425;72,000000;F
180294;3997;F;109; 699;15,593705;F
180297;3997;F;101; 583;17,324185;F
182399;3997;F;115; 334;34,431138;F
2330;7105;M;175; 724;24,171271;F
2340;7105;M;178; 750;23,733333;F
24317;5484;F;118; 856;13,785047;F
24318;5484;F;129; 877;14,709236;F
258277;8461;F; 91; 317;28,706625;F
266249;8280;F;278;1397;19,899785;F
269288;8188;M;171; 708;24,152542;F
269290;8188;M;191; 681;28,046990;F
274364;8188;M; 70; 308;22,727273;F
278226;8461;F; 94; 383;24,543081;F
280057;7975;M;236; 420;56,190476;F
280063;7975;M;132; 229;57,641921;F
280076;7975;M;311; 628;49,522293;F
