"";"book";"spk";"gender";"errors";"words";"WER";"wper"
"1";"1066";"533";"F";122;371;32,8840970350404;"30%"
"2";"10919";"4350";"M";99;498;19,8795180722892;"30%"
"3";"117016";"8131";"M";116;793;14,6279949558638;"30%"
"4";"117017";"8131";"M";70;431;16,2412993039443;"30%"
"5";"117029";"8131";"M";55;301;18,2724252491694;"30%"
"6";"12259";"4198";"M";171;504;33,9285714285714;"30%"
"7";"12281";"4198";"M";77;345;22,3188405797101;"30%"
"8";"128291";"2414";"M";144;304;47,3684210526316;"30%"
"9";"128292";"2414";"M";186;296;62,8378378378378;"30%"
"10";"130732";"367";"F";220;762;28,8713910761155;"30%"
"11";"131556";"533";"F";123;404;30,4455445544554;"30%"
"12";"131562";"533";"F";118;313;37,6996805111821;"30%"
"13";"131564";"533";"F";128;396;32,3232323232323;"30%"
"14";"142285";"1688";"M";198;1472;13,4510869565217;"30%"
"15";"142836";"3538";"F";153;593;25,8010118043845;"30%"
"16";"14317";"4294";"F";76;579;13,126079447323;"30%"
"17";"15444";"1998";"F";201;527;38,1404174573055;"30%"
"18";"156975";"2609";"M";358;703;50,9246088193457;"30%"
"19";"157645";"2609";"M";125;255;49,0196078431373;"30%"
"20";"159411";"2414";"M";243;568;42,7816901408451;"30%"
"21";"159605";"3331";"F";234;998;23,4468937875752;"30%"
"22";"159609";"3331";"F";202;740;27,2972972972973;"30%"
"23";"163389";"3005";"M";65;324;20,0617283950617;"30%"
"24";"163390";"3005";"M";102;430;23,7209302325581;"30%"
"25";"163391";"3005";"M";114;498;22,8915662650602;"30%"
"26";"163399";"3005";"M";70;397;17,632241813602;"30%"
"27";"163619";"3538";"F";56;364;15,3846153846154;"30%"
"28";"163622";"3538";"F";105;435;24,1379310344828;"30%"
"29";"163624";"3538";"F";102;569;17,9261862917399;"30%"
"30";"164914";"2033";"M";100;551;18,1488203266788;"30%"
"31";"164915";"2033";"M";107;526;20,3422053231939;"30%"
"32";"164916";"2033";"M";67;297;22,5589225589226;"30%"
"33";"165385";"2414";"M";24;76;31,5789473684211;"30%"
"34";"168656";"3528";"F";38;209;18,1818181818182;"30%"
"35";"168669";"3528";"F";270;1465;18,4300341296928;"30%"
"36";"168670";"3764";"F";127;841;15,1010701545779;"30%"
"37";"168671";"3764";"F";158;748;21,1229946524064;"30%"
"38";"169640";"2609";"M";235;425;55,2941176470588;"30%"
"39";"180294";"3997";"F";117;699;16,7381974248927;"30%"
"40";"180297";"3997";"F";90;583;15,4373927958834;"30%"
"41";"182399";"3997";"F";103;334;30,8383233532934;"30%"
"42";"2330";"7105";"M";187;724;25,828729281768;"30%"
"43";"2340";"7105";"M";209;750;27,8666666666667;"30%"
"44";"24317";"5484";"F";136;856;15,8878504672897;"30%"
"45";"24318";"5484";"F";127;877;14,4811858608894;"30%"
"46";"258277";"8461";"F";100;317;31,5457413249211;"30%"
"47";"266249";"8280";"F";280;1397;20,0429491768074;"30%"
"48";"269288";"8188";"M";166;708;23,4463276836158;"30%"
"49";"269290";"8188";"M";176;681;25,8443465491924;"30%"
"50";"274364";"8188";"M";65;308;21,1038961038961;"30%"
"51";"278226";"8461";"F";84;383;21,9321148825065;"30%"
"52";"280057";"7975";"M";98;420;23,3333333333333;"30%"
"53";"280063";"7975";"M";67;229;29,2576419213974;"30%"
"54";"280076";"7975";"M";143;628;22,7707006369427;"30%"
"55";"280084";"7975";"M";87;332;26,2048192771084;"30%"
"56";"280085";"7975";"M";90;431;20,8816705336427;"30%"
"57";"281231";"8461";"F";211;941;22,422954303932;"30%"
"58";"28311";"4852";"M";140;436;32,1100917431193;"30%"
"59";"28312";"4852";"M";147;486;30,2469135802469;"30%"
"60";"28319";"4852";"M";115;473;24,3128964059197;"30%"
"61";"28330";"4852";"M";83;411;20,1946472019465;"30%"
"62";"293981";"367";"F";130;579;22,4525043177893;"30%"
"63";"29454";"1998";"F";188;567;33,1569664902998;"30%"
"64";"29455";"1998";"F";216;613;35,2365415986949;"30%"
"65";"299665";"5764";"M";312;1188;26,2626262626263;"30%"
"66";"32859";"4294";"F";16;135;11,8518518518519;"30%"
"67";"32873";"5442";"F";143;511;27,9843444227006;"30%"
"68";"35475";"4294";"F";91;620;14,6774193548387;"30%"
"69";"41168";"5442";"F";141;663;21,2669683257919;"30%"
"70";"41169";"5442";"F";138;451;30,5986696230599;"30%"
"71";"5032";"3080";"F";123;750;16,4;"30%"
"72";"5040";"3080";"F";133;910;14,6153846153846;"30%"
"73";"61336";"4198";"M";165;493;33,4685598377282;"30%"
"74";"63240";"6128";"F";130;627;20,7336523125997;"30%"
"75";"63241";"6128";"F";72;442;16,289592760181;"30%"
"76";"63244";"6128";"F";268;567;47,2663139329806;"30%"
"77";"63485";"6070";"F";61;310;19,6774193548387;"30%"
